index,species,PFG
0,0,129
1,1,89
2,2,115
3,3,115
4,4,61
5,5,115
6,6,99
7,7,115
8,8,115
9,9,99
10,10,115
11,11,115
12,12,115
13,13,115
14,14,133
15,15,84
16,16,93
17,17,111
18,18,42
19,19,144
20,20,146
21,21,113
22,22,76
23,23,126
24,24,81
25,25,101
26,26,101
27,27,101
28,28,113
29,29,101
30,30,134
31,31,101
32,32,101
33,33,111
34,34,126
35,35,111
36,36,101
37,37,111
38,38,101
39,39,108
40,40,129
41,41,122
42,42,101
43,43,101
44,44,101
45,45,112
46,46,122
47,47,101
48,48,101
49,49,122
50,50,74
51,51,118
52,52,118
53,53,129
54,54,118
55,55,101
56,56,129
57,57,129
58,58,111
59,59,126
60,60,108
61,61,111
62,62,144
63,63,118
64,64,129
65,65,126
66,66,118
67,67,113
68,68,112
69,69,111
70,70,101
71,71,111
72,72,122
73,73,101
74,74,128
75,75,112
76,76,118
77,77,129
78,78,128
79,79,101
80,80,122
81,81,118
82,82,128
83,83,101
84,84,101
85,85,113
86,86,101
87,87,111
88,88,128
89,89,111
90,90,111
91,91,111
92,92,129
93,93,129
94,94,113
95,95,122
96,96,128
97,97,111
98,98,101
99,99,104
100,100,101
101,101,104
102,102,111
103,103,129
104,104,111
105,105,111
106,106,101
107,107,118
108,108,111
109,109,111
110,110,111
111,111,101
112,112,128
113,113,101
114,114,101
115,115,128
116,116,101
117,117,85
118,118,146
119,119,104
120,120,126
121,121,128
122,122,111
123,123,122
124,124,111
125,125,42
126,126,129
127,127,128
128,128,101
129,129,128
130,130,128
131,131,128
132,132,130
133,133,122
134,134,122
135,135,64
136,136,91
137,137,159
138,138,146
139,139,159
140,140,64
141,141,93
142,142,125
143,143,75
144,144,75
145,145,129
146,146,128
147,147,102
148,148,99
149,149,70
150,150,107
151,151,107
152,152,107
153,153,107
154,154,119
155,155,104
156,156,107
157,157,119
158,158,119
159,159,61
160,160,107
161,161,115
162,162,115
163,163,119
164,164,127
165,165,107
166,166,104
167,167,107
168,168,119
169,169,99
170,170,99
171,171,62
172,172,70
173,173,70
174,174,93
175,175,140
176,176,68
177,177,71
178,178,68
179,179,77
180,180,132
181,181,77
182,182,71
183,183,79
184,184,64
185,185,79
186,186,79
187,187,70
188,188,73
189,189,64
190,190,68
191,191,71
192,192,136
193,193,146
194,194,146
195,195,77
196,196,140
197,197,151
198,198,77
199,199,70
200,200,77
201,201,81
202,202,68
203,203,126
204,204,111
205,205,63
206,206,63
207,207,133
208,208,101
209,209,111
210,210,151
211,211,68
212,212,113
213,213,30
214,214,20
215,215,66
216,216,113
217,217,159
218,218,74
219,219,126
220,220,42
221,221,111
222,222,107
223,223,113
224,224,64
225,225,88
226,226,88
227,227,129
228,228,113
229,229,141
230,230,138
231,231,138
232,232,154
233,233,133
234,234,133
235,235,133
236,236,63
237,237,63
238,238,63
239,239,63
240,240,154
241,241,84
242,242,84
243,243,63
244,244,84
245,245,62
246,246,62
247,247,75
248,248,81
249,249,81
250,250,56
251,251,58
252,252,113
253,253,62
254,254,93
255,255,62
256,256,93
257,257,69
258,258,111
259,259,159
260,260,126
261,261,68
262,262,73
263,263,89
264,264,89
265,265,159
266,266,119
267,267,102
268,268,129
269,269,104
270,270,82
271,271,113
272,272,99
273,273,134
274,274,93
275,275,104
276,276,101
277,277,126
278,278,85
279,279,64
280,280,113
281,281,81
282,282,158
283,283,72
284,284,115
285,285,141
286,286,132
287,287,99
288,288,141
289,289,88
290,290,89
291,291,81
292,292,113
293,293,93
294,294,93
295,295,111
296,296,111
297,297,126
298,298,129
299,299,161
300,300,91
301,301,141
302,302,135
303,303,68
304,304,68
305,305,85
306,306,69
307,307,69
308,308,70
309,309,70
310,310,68
311,311,71
312,312,62
313,313,88
314,314,88
315,315,88
316,316,68
317,317,68
318,318,91
319,319,63
320,320,71
321,321,68
322,322,63
323,323,68
324,324,68
325,325,63
326,326,63
327,327,88
328,328,63
329,329,88
330,330,81
331,331,63
332,332,122
333,333,77
334,334,126
335,335,66
336,336,66
337,337,66
338,338,91
339,339,75
340,340,62
341,341,91
342,342,71
343,343,20
344,344,29
345,345,109
346,346,101
347,347,111
348,348,113
349,349,111
350,350,74
351,351,113
352,352,76
353,353,101
354,354,113
355,355,113
356,356,113
357,357,126
358,358,111
359,359,126
360,360,113
361,361,62
362,362,93
363,363,90
364,364,71
365,365,93
366,366,68
367,367,71
368,368,87
369,369,145
370,370,64
371,371,90
372,372,71
373,373,92
374,374,160
